"bin bottom",azimuth,altitude,"distance (m)",latitude,longitude,"elevation (m amsl)"
10.625,10.748746,4.265307,11813.499256,37.337500,-118.258611,2101.000000
10.75,10.838119,4.295878,11848.994216,37.337778,-118.258333,2110.000000
10.875,10.95534,4.308612,11853.872006,37.337778,-118.258056,2113.000000
11,11.10309,4.319537,11954.582820,37.338611,-118.257500,2123.000000
11.125,11.219173,4.365542,11960.116058,37.338611,-118.257222,2133.000000
11.25,11.335162,4.382844,11965.235399,37.338611,-118.256944,2137.000000
11.375,11.421699,4.398328,12000.693603,37.338889,-118.256667,2143.000000
11.5,11.537218,4.396494,12005.585849,37.338889,-118.256389,2143.000000
11.625,11.648683,4.409361,12136.947053,37.340000,-118.255833,2156.000000
11.75,11.762813,4.426325,12142.249440,37.340000,-118.255556,2160.000000
11.875,11.990787,4.441354,12152.683631,37.340000,-118.255000,2164.000000
12,12.104629,4.462925,12158.211137,37.340000,-118.254722,2169.000000
12.125,12.218375,4.498544,12164.028335,37.340000,-118.254444,2177.000000
12.25,12.332022,4.510647,12169.494830,37.340000,-118.254167,2180.000000
12.375,12.445571,4.518031,12174.928896,37.340000,-118.253889,2182.000000
12.5,12.559021,4.520700,12180.330081,37.340000,-118.253611,2183.000000
12.625,12.67237,4.528037,12185.859450,37.340000,-118.253333,2185.000000
12.75,12.785618,4.544716,12191.598288,37.340000,-118.253056,2189.000000
12.875,12.898765,4.561363,12197.385517,37.340000,-118.252778,2193.000000
13,13.124749,4.575843,12208.778011,37.340000,-118.252222,2197.000000
13.125,13.157846,4.592034,12178.930444,37.339722,-118.252222,2198.000000
13.25,13.270947,4.613301,12184.958288,37.339722,-118.251944,2203.000000
13.375,13.496832,4.665080,12197.326573,37.339722,-118.251389,2215.000000
13.5,13.530886,4.686179,12167.613948,37.339444,-118.251389,2217.000000
13.625,13.678418,4.728593,12144.114095,37.339167,-118.251111,2224.000000
13.75,13.791618,4.749767,12150.369806,37.339167,-118.250833,2229.000000
13.875,13.904708,4.766204,12156.589408,37.339167,-118.250556,2233.000000
14,14.053136,4.804024,12133.220378,37.338889,-118.250278,2239.000000
14.125,14.243311,4.857493,12176.310942,37.339167,-118.249722,2254.000000
14.25,14.355954,4.859707,12182.465060,37.339167,-118.249444,2255.000000
14.375,14.392186,4.871868,12152.705596,37.338889,-118.249444,2255.000000
14.5,14.504975,4.855274,12158.575430,37.338889,-118.249167,2252.000000
14.625,14.735965,4.803177,12650.567796,37.343056,-118.247222,2283.000000
14.75,14.84413,4.845843,12657.698696,37.343056,-118.246944,2293.000000
14.875,14.952187,4.888444,12664.881428,37.343056,-118.246667,2303.000000
15,15.060134,4.912961,12671.765360,37.343056,-118.246389,2309.000000
15.125,15.238897,4.950040,12715.308047,37.343333,-118.245833,2321.000000
15.25,15.34628,5.001294,12722.849104,37.343333,-118.245556,2333.000000
15.375,15.490822,5.068998,12700.936209,37.343056,-118.245278,2346.000000
15.5,15.598216,5.093256,12708.059838,37.343056,-118.245000,2352.000000
15.625,15.743408,5.156642,12686.219748,37.342778,-118.244722,2364.000000
15.75,15.850808,5.203309,12693.917491,37.342778,-118.244444,2375.000000
15.875,15.958093,5.254391,12701.761292,37.342778,-118.244167,2387.000000
16,16.065264,5.287440,12709.282777,37.342778,-118.243889,2395.000000
16.125,16.211335,5.319570,12687.088020,37.342500,-118.243611,2400.000000
16.25,16.318503,5.343587,12694.531964,37.342500,-118.243333,2406.000000
16.375,16.492783,5.378759,12738.987840,37.342778,-118.242778,2418.000000
16.5,16.59937,5.411541,12746.745021,37.342778,-118.242500,2426.000000
16.625,16.745995,5.483995,12725.739906,37.342500,-118.242222,2440.000000
16.75,16.852569,5.507746,12733.418560,37.342500,-118.241944,2446.000000
16.875,16.99982,5.544488,12711.793586,37.342222,-118.241667,2452.000000
17,17.106379,5.572664,12719.680711,37.342222,-118.241389,2459.000000
17.125,17.230595,5.616790,12631.829431,37.341389,-118.241389,2460.000000
17.25,17.337709,5.681136,12640.622969,37.341389,-118.241111,2475.000000
17.375,17.486945,5.740900,12619.806819,37.341111,-118.240833,2486.000000
17.5,17.594033,5.787120,12628.324518,37.341111,-118.240556,2497.000000
17.625,17.743892,5.860608,12607.990414,37.340833,-118.240278,2511.000000
17.75,17.871387,5.974259,12684.846796,37.341389,-118.239722,2544.000000
17.875,17.977741,6.020009,12693.562566,37.341389,-118.239444,2555.000000
18,18.083967,6.052221,12702.007544,37.341389,-118.239167,2563.000000
18.125,18.233874,6.103112,12681.487125,37.341111,-118.238889,2572.000000
18.25,18.340061,6.144224,12690.264140,37.341111,-118.238611,2582.000000
18.375,18.446118,6.189742,12699.200410,37.341111,-118.238333,2593.000000
18.5,18.596715,6.236271,12678.804908,37.340833,-118.238056,2601.000000
18.625,18.702727,6.277226,12687.750240,37.340833,-118.237778,2611.000000
18.75,18.86903,6.317308,12734.106737,37.341111,-118.237222,2625.000000
18.875,18.974427,6.326696,12742.388945,37.341111,-118.236944,2628.000000
